Sample,B0VSB1_Cor,B0VSB1_P,B0VSmSCV2_Cor,B0VSmSCV2_P,B0VSpSCV2_Cor,B0VSpSCV2_P
10000,0.921461137200578,2.06043966598137e-05,0.825902082723425,2.06043966598137e-05,0.745076772164069,2.06043966598137e-05
9999,0.943314509154239,4.18920086860603e-06,0.66214709966586,4.18920086860603e-06,0.690844490307797,4.18920086860603e-06
9998,0.962799800735372,5.27057650740967e-07,0.751391138157023,5.27057650740967e-07,0.673833453042136,5.27057650740967e-07
9997,0.948742314881185,2.55609851654791e-06,0.774274122883993,2.55609851654791e-06,0.73577005889951,2.55609851654791e-06
9996,0.897865422367513,7.35725616969036e-05,0.460425559501126,7.35725616969036e-05,0.496206675700554,7.35725616969036e-05
9995,0.927182535873309,1.42553648070957e-05,0.76162881207459,1.42553648070957e-05,0.608229025467337,1.42553648070957e-05
9994,0.965145386399493,3.82080195035378e-07,0.809057303495888,3.82080195035378e-07,0.772295951941159,3.82080195035378e-07
9993,0.978975654874098,3.12308492273519e-08,0.614218184570922,3.12308492273519e-08,0.654202110621672,3.12308492273519e-08
9992,0.938580075691863,6.20601031994406e-06,0.617946250899142,6.20601031994406e-06,0.687048910289092,6.20601031994406e-06
9991,0.939092562604667,5.95658738718767e-06,0.56991855033709,5.95658738718767e-06,0.724101079965882,5.95658738718767e-06
9990,0.976842889477168,5.04471244870296e-08,0.668174739655107,5.04471244870296e-08,0.616359826946345,5.04471244870296e-08
9989,0.967031232729453,2.90234852753446e-07,0.582681418136283,2.90234852753446e-07,0.684049325266225,2.90234852753446e-07
9988,0.953379984228891,1.6034860672283e-06,0.594976267755056,1.6034860672283e-06,0.713769653080042,1.6034860672283e-06
9987,0.969175281581063,2.08114615936138e-07,0.515130932550435,2.08114615936138e-07,0.594637735337191,2.08114615936138e-07
9986,0.948863023392907,2.52666105578458e-06,0.488561494042047,2.52666105578458e-06,0.667502211745776,2.52666105578458e-06
9985,0.958116623701067,9.46016422191603e-07,0.743182387545161,9.46016422191603e-07,0.715575819828253,9.46016422191603e-07
9984,0.948112086807781,2.71424081239921e-06,0.621693055880824,2.71424081239921e-06,0.6819530101556,2.71424081239921e-06
9983,0.967731339362064,2.61008011094166e-07,0.462888989090241,2.61008011094166e-07,0.693895049763228,2.61008011094166e-07
9982,0.945453818894015,3.46876821513801e-06,0.722799934437265,3.46876821513801e-06,0.680983394382483,3.46876821513801e-06
9981,0.922590456394379,1.92022332812301e-05,0.710349390038521,1.92022332812301e-05,0.70176427383053,1.92022332812301e-05
9980,0.89938003286778,6.84562103310141e-05,0.593155714804452,6.84562103310141e-05,0.769851883505417,6.84562103310141e-05
